# year,dir,winners_rank,path,created_by,prog,filetype,winners_show,display_via,winners_text,ext
1989,tromp,20,tromp.c,null,main,c,true,github,winning source,c
1989,tromp,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,tromp,40,tromp.alt.c,null,alt,c,true,github,alternative source,c
1989,tromp,50,tromp.orig.c,null,orig,c,true,github,original source,c
1989,tromp,300,1989_tromp.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,vanb,null,README.md,null,null,markdown,false,null,null,md
1989,vanb,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,vanb,null,.winner.json,jwinner,null,json,false,null,null,json
1989,vanb,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,vanb,20,vanb.c,null,main,c,true,github,winning source,c
1989,vanb,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,vanb,50,vanb.orig.c,null,orig,c,true,github,original source,c
1989,vanb,300,1989_vanb.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1989,westley,null,README.md,null,null,markdown,false,null,null,md
1989,westley,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1989,westley,null,.winner.json,jwinner,null,json,false,null,null,json
1989,westley,10,index.html,readme2index,null,html,true,browser,click here first,html
1989,westley,20,westley.c,null,main,c,true,github,winning source,c
1989,westley,30,Makefile,null,null,makefile,true,github,how to compile,null
1989,westley,50,westley.orig.c,null,orig,c,true,github,original source,c
1989,westley,300,1989_westley.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1990,baruch,null,README.md,null,null,markdown,false,null,null,md
