# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1987,wall,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,wall,.path,4000000000,false,path,true,directory path from top directory
1987,wall,index.html,4294967295,false,html,false,this web page
1987,westley,westley.c,20,true,c,true,entry source
1987,westley,Makefile,30,true,makefile,true,entry Makefile
1987,westley,westley.orig.c,50,true,c,true,original source
1987,westley,1987_westley.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1987,westley,README.md,4000000000,true,markdown,true,markdown source for this web page
1987,westley,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1987,westley,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1987,westley,.path,4000000000,false,path,true,directory path from top directory
1987,westley,index.html,4294967295,false,html,false,this web page
1988,applin,applin.c,20,true,c,true,entry source
1988,applin,Makefile,30,true,makefile,true,entry Makefile
1988,applin,applin.alt.c,40,true,c,true,alternate code
1988,applin,applin.orig.c,50,false,c,true,original source
1988,applin,1988_applin.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,applin,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,applin,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,applin,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,applin,.path,4000000000,false,path,true,directory path from top directory
1988,applin,index.html,4294967295,false,html,false,this web page
1988,dale,dale.c,20,true,c,true,entry source
1988,dale,Makefile,30,true,makefile,true,entry Makefile
1988,dale,dale.orig.c,50,false,c,true,original source
1988,dale,try.sh,100,true,shellscript,true,script to try entry
1988,dale,1988_dale.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,dale,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,dale,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,dale,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,dale,.path,4000000000,false,path,true,directory path from top directory
1988,dale,index.html,4294967295,false,html,false,this web page
1988,isaak,isaak.c,20,true,c,true,entry source
1988,isaak,Makefile,30,true,makefile,true,entry Makefile
1988,isaak,isaak.alt.c,40,true,c,true,alternate code
1988,isaak,isaak.orig.c,50,false,c,true,original source
1988,isaak,isaak.output.txt,180,false,text,false,program output
1988,isaak,1988_isaak.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,isaak,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,isaak,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,isaak,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,isaak,.path,4000000000,false,path,true,directory path from top directory
1988,isaak,index.html,4294967295,false,html,false,this web page
1988,litmaath,litmaath.c,20,true,c,true,entry source
1988,litmaath,Makefile,30,true,makefile,true,entry Makefile
1988,litmaath,litmaath.alt.c,40,true,c,true,alternate code
1988,litmaath,litmaath.orig.c,50,false,c,true,original source
1988,litmaath,1988_litmaath.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,litmaath,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,litmaath,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,litmaath,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,litmaath,.path,4000000000,false,path,true,directory path from top directory
1988,litmaath,index.html,4294967295,false,html,false,this web page
1988,phillipps,phillipps.c,20,true,c,true,entry source
1988,phillipps,Makefile,30,true,makefile,true,entry Makefile
1988,phillipps,phillipps.orig.c,50,false,c,true,original source
1988,phillipps,1988_phillipps.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,phillipps,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,phillipps,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,phillipps,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,phillipps,.path,4000000000,false,path,true,directory path from top directory
1988,phillipps,index.html,4294967295,false,html,false,this web page
1988,reddy,reddy.c,20,true,c,true,entry source
1988,reddy,Makefile,30,true,makefile,true,entry Makefile
1988,reddy,reddy.orig.c,50,true,c,true,original source
1988,reddy,1988_reddy.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,reddy,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,reddy,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,reddy,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,reddy,.path,4000000000,false,path,true,directory path from top directory
1988,reddy,index.html,4294967295,false,html,false,this web page
1988,robison,robison.c,20,true,c,true,entry source
1988,robison,Makefile,30,true,makefile,true,entry Makefile
1988,robison,robison.orig.c,50,true,c,true,original source
1988,robison,1988_robison.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,robison,README.md,4000000000,true,markdown,true,markdown source for this web page
