# year,dir,title,abstract
2011,hamaji,hamaji.2011,Paint by number puzzle
2011,hou,hou.2011,Scientific calculator
2011,konno,konno.2011,QWERTY keyboard position identifer
2011,richards,richards.2011,JIT dc
2011,toledo,toledo.2011,Dual player tank shooter game
2011,vik,vik.2011,Tracker player
2011,zucker,zucker.2011,Text raytracing
2012,blakely,blakely.2012,Animated GIFs of surfaces
2012,deckmyn,deckmyn.2012,Music notation printer
2012,dlowe,dlowe.2012,Conway's game of death
2012,endoh1,endoh1.2012,ASCII fluid dynamics
2012,endoh2,endoh2.2012,Pi/e quine
2012,grothe,grothe.2012,Shamir secret sharing
2012,hamano,hamano.2012,PDF with little dancing men
2012,hou,hou.2012,Syntax highlighter
2012,kang,kang.2012,Decodes spelled out numbers
2012,konno,konno.2012,Linear cellular automaton 1-liner
2012,omoikane,omoikane.2012,Encodes text as a C program
2012,tromp,tromp.2012,Lambda interpreter
2012,vik,vik.2012,Steganography
2012,zeitak,zeitak.2012,Brace matcher
2013,birken,birken.2013,use Tetris to paint a picture
2013,cable1,cable1.2013,1-liner party of a US President
2013,cable2,cable2.2013,OCR in quick brown fox ASCII art
2013,cable3,cable3.2013,IBM PC emulator
2013,dlowe,dlowe.2013,ASCII spark line graph
2013,endoh1,endoh1.2013,SKI Combinator Calculus tool
2013,endoh2,endoh2.2013,JPEG quine that expands and inverts
2013,endoh3,endoh3.2013,play music with ABC notation
2013,endoh4,endoh4.2013,ASCII solid rotation
2013,hou,hou.2013,ray tracer
2013,mills,mills.2013,HTTP server ray tracing a timestamp
2013,misaka,misaka.2013,horizontal or vertical file concat
2013,morgan1,morgan1.2013,X11 based Solar system simulator
2013,morgan2,morgan2.2013,X11 & ASCII domino matching game
2013,robison,robison.2013,multi-precision arithmetic
2014,birken,birken.2014,Klingon web server
2014,deak,deak.2014,CPP and C99 abuse
2014,endoh1,endoh1.2014,QR encoder
2014,endoh2,endoh2.2014,ASCII to DNA transcoder
2014,maffiodo1,maffiodo1.2014,homage to a popular game
2014,maffiodo2,maffiodo2.2014,ASCII art 1-line converter
2014,morgan,morgan.2014,make clone
2014,sinon,sinon.2014,optimizer-controlled shooter game
2014,skeggs,skeggs.2014,dynamic library abusing game
2014,vik,vik.2014,Morse audio transcoder
2014,wiedijk,wiedijk.2014,Y combinator
2015,burton,burton.2015,hex/decimal calculator
2015,dogon,dogon.2015,X11 Minecraft demo
2015,duble,duble.2015,handwriting with Braille
2015,endoh1,endoh1.2015,reaction-diffusion system HTTP server
2015,endoh2,endoh2.2015,hidden text quine
2015,endoh3,endoh3.2015,1984/mullender emulator
2015,endoh4,endoh4.2015,visual factorization
2015,hou,hou.2015,MD5 without integers
2015,howe,howe.2015,diff tool
2015,mills1,mills1.2015,flappy bird
2015,mills2,mills2.2015,uncompress
2015,muth,muth.2015,preprocessor Turing engine
2015,schweikhardt,schweikhardt.2015,Collatz bignum computation
2015,yang,yang.2015,text encoder with sea star pattern that varies with C flavor
2018,algmyr,algmyr.2018,Converts text to sound using font as spectrogram
2018,anderson,anderson.2018,Visualizer of typographic rivers
2018,bellard,bellard.2018,Image compression demo
2018,burton1,burton1.2018,Hex dumper
2018,burton2,burton2.2018,Tokenize and count
2018,ciura,ciura.2018,Strunk & White checker
2018,endoh1,endoh1.2018,Animated GIF from text
2018,endoh2,endoh2.2018,Monty-Pythonesque animated quine
2018,ferguson,ferguson.2018,Dawkins' weasel simulator
2018,giles,giles.2018,SDL falling sand
2018,hou,hou.2018,Converter of JSON to SVG pie chart
2018,mills,mills.2018,PDP-7/11 simulator
2018,poikola,poikola.2018,Ursa Major ASCII animation
